SEGMENT#, BRANCH#, XC, YC, UTMZONE
 30,  1,   571802.60574,  4511473.53885, 10
 29,  1,   572345.62635,  4511688.74560, 10
 28,  1,   572767.16709,  4512130.84184, 10
 27,  1,   573125.29846,  4512505.63342, 10
 26,  1,   573553.00563,  4512366.64198, 10
 25,  1,   573831.83598,  4512412.86228, 10
 24,  1,   573828.49266,  4512736.22739, 10
 23,  1,   573813.24339,  4513170.59224, 10
 22,  1,   574313.60207,  4513373.98176, 10
 21,  1,   574861.10359,  4513641.76116, 10
 20,  1,   575343.43889,  4514035.45831, 10
 19,  1,   575692.92991,  4514644.30675, 10
 18,  1,   575803.70911,  4515376.21687, 10
 17,  1,   576019.91237,  4516053.82334, 10
 16,  1,   576000.49444,  4516690.89231, 10
 15,  1,   576013.53372,  4517025.10666, 10
 14,  1,   576041.40478,  4517296.65221, 10
 13,  1,   576129.07144,  4517707.98008, 10
 12,  1,   576626.34005,  4517886.87646, 10
 11,  1,   577509.41587,  4517995.07301, 10
 10,  1,   578514.62553,  4518409.09677, 10
  9,  1,   579462.93000,  4518956.53935, 10
  8,  1,   580316.62786,  4519203.44783, 10
  7,  1,   580996.49055,  4518753.10896, 10
  6,  1,   581733.44622,  4518715.93677, 10
  5,  1,   582285.59446,  4519565.60860, 10
  4,  1,   582437.71287,  4520648.98042, 10
  3,  1,   582616.68309,  4521319.01050, 10
  2,  1,   582776.40724,  4521639.37742, 10
112,  2,   565677.15814,  4514039.28850, 10
111,  2,   566230.72413,  4514304.96548, 10
110,  2,   566804.56228,  4514172.29666, 10
109,  2,   567262.65829,  4514128.40117, 10
108,  2,   567587.65329,  4514471.45652, 10
107,  2,   567892.66933,  4514924.90674, 10
106,  2,   568189.34705,  4515325.46252, 10
105,  2,   568494.34022,  4515681.97838, 10
104,  2,   568878.20029,  4515903.44532, 10
103,  2,   569234.54086,  4516019.16527, 10
102,  2,   569524.53181,  4515960.15915, 10
101,  2,   569769.25733,  4515870.99936, 10
100,  2,   569957.01001,  4516001.04873, 10
 99,  2,   570169.46253,  4516206.35608, 10
 98,  2,   570419.69997,  4516445.67152, 10
 97,  2,   570437.87874,  4516738.96639, 10
 96,  2,   570391.91656,  4517067.09369, 10
 95,  2,   570755.04586,  4517379.00889, 10
 94,  2,   571056.40206,  4517688.20296, 10
 93,  2,   570935.87169,  4518019.32983, 10
 92,  2,   570956.87012,  4518265.88677, 10
 91,  2,   571134.70824,  4518540.00863, 10
 90,  2,   571351.27769,  4518762.80017, 10
 89,  2,   571502.98414,  4518948.90246, 10
 88,  2,   571543.05698,  4519230.70285, 10
 87,  2,   571796.32637,  4519410.60834, 10
 86,  2,   571952.37382,  4519605.71924, 10
 85,  2,   571757.48732,  4519849.29209, 10
 84,  2,   571859.57206,  4520033.46688, 10
 83,  2,   572076.62801,  4520277.51983, 10
 82,  2,   572275.30815,  4520418.41670, 10
 81,  2,   572512.26772,  4520668.02547, 10
 80,  2,   572537.60166,  4521189.99453, 10
148,  3,   558834.34500,  4514121.54816, 10
147,  3,   559230.10114,  4515247.69420, 10
146,  3,   559436.12073,  4516498.84806, 10
145,  3,   559551.86180,  4517437.66983, 10
144,  3,   559784.14128,  4517988.21436, 10
143,  3,   560147.28505,  4518474.97837, 10
142,  3,   560602.29070,  4518931.38102, 10
141,  3,   561294.61949,  4519505.66249, 10
140,  3,   561848.99333,  4520541.39910, 10
139,  3,   562036.49475,  4521625.13567, 10
138,  3,   562315.17090,  4522296.70544, 10
137,  3,   562570.22145,  4522820.01583, 10
136,  3,   562833.53109,  4523301.09833, 10
135,  3,   563243.00560,  4523704.49961, 10
134,  3,   563582.53626,  4524244.80080, 10
133,  3,   564016.73184,  4524744.37139, 10
132,  3,   564417.63071,  4525049.18720, 10
131,  3,   564635.85472,  4525338.64278, 10
130,  3,   564835.02360,  4525839.36349, 10
129,  3,   565102.43576,  4526344.43920, 10
128,  3,   565181.98848,  4526705.27891, 10
127,  3,   564893.00555,  4527075.66854, 10
126,  3,   564790.32902,  4527487.04952, 10
125,  3,   564969.25719,  4527953.20001, 10
124,  3,   564819.93168,  4528258.29776, 10
123,  3,   564437.74289,  4528486.01578, 10
122,  3,   564311.47867,  4528924.46856, 10
121,  3,   564102.63915,  4529384.97575, 10
120,  3,   563728.19845,  4529796.40923, 10
119,  3,   563419.37827,  4530281.20985, 10
118,  3,   563325.73598,  4530784.41344, 10
117,  3,   563191.45649,  4531163.67934, 10
116,  3,   563051.03025,  4531480.23342, 10
115,  3,   563251.84463,  4532071.00769, 10
220,  4,   552801.02871,  4511555.58458, 10
219,  4,   552484.60772,  4512303.33611, 10
218,  4,   552192.43202,  4512824.92594, 10
217,  4,   552098.41117,  4513206.95235, 10
216,  4,   552107.46084,  4513556.18217, 10
215,  4,   552095.27233,  4513903.36286, 10
214,  4,   551946.66690,  4514294.85552, 10
213,  4,   551739.92268,  4514748.41855, 10
212,  4,   551693.77430,  4515153.84203, 10
211,  4,   551766.55295,  4515496.13687, 10
210,  4,   551708.36816,  4515873.44084, 10
209,  4,   551466.74540,  4516169.02598, 10
208,  4,   551102.97458,  4516432.14017, 10
207,  4,   550807.01412,  4516759.66421, 10
206,  4,   550659.18977,  4517076.38275, 10
205,  4,   550493.17734,  4517381.94544, 10
204,  4,   550262.65523,  4517642.30721, 10
203,  4,   550020.05988,  4517893.40126, 10
202,  4,   549949.48773,  4518425.25004, 10
201,  4,   549803.44097,  4518891.36558, 10
200,  4,   549458.26457,  4518857.49663, 10
199,  4,   549127.34470,  4518593.35234, 10
198,  4,   548795.03194,  4518357.42833, 10
197,  4,   548536.01051,  4518426.78060, 10
196,  4,   548500.34195,  4518811.56854, 10
195,  4,   548499.20840,  4519268.17402, 10
194,  4,   548507.06051,  4519628.11722, 10
193,  4,   548829.83845,  4519629.27179, 10
192,  4,   549228.85533,  4519483.03975, 10
191,  4,   549442.18070,  4519616.42656, 10
190,  4,   549396.43824,  4519949.17887, 10
189,  4,   549662.34822,  4520145.88762, 10
188,  4,   550158.65862,  4520234.03704, 10
187,  4,   550276.53210,  4520522.23327, 10
186,  4,   550426.69358,  4520829.73874, 10
185,  4,   550821.86667,  4521154.68274, 10
184,  4,   550915.73389,  4521487.58527, 10
183,  4,   550735.53162,  4521787.74156, 10
182,  4,   550686.71029,  4522159.19216, 10
181,  4,   550919.56444,  4522462.31567, 10
180,  4,   551249.22466,  4522841.61150, 10
179,  4,   551320.03027,  4523379.40145, 10
178,  4,   551306.06018,  4523904.19432, 10
177,  4,   551526.76401,  4524154.11160, 10
176,  4,   551908.07106,  4524315.90864, 10
175,  4,   552232.03352,  4524726.53183, 10
174,  4,   552542.66327,  4525164.95550, 10
173,  4,   552685.63762,  4525629.59881, 10
172,  4,   552647.48514,  4526176.93939, 10
171,  4,   552438.88907,  4526632.17060, 10
170,  4,   552255.32155,  4526939.37037, 10
169,  4,   552078.33805,  4527178.35314, 10
168,  4,   551965.11596,  4527512.25460, 10
167,  4,   551848.48158,  4527881.96540, 10
166,  4,   551511.61128,  4528138.45012, 10
165,  4,   551345.51213,  4528344.39063, 10
164,  4,   551269.13818,  4528504.49803, 10
163,  4,   550994.38562,  4528452.20757, 10
162,  4,   550664.09710,  4528363.63567, 10
161,  4,   550432.26361,  4528502.42438, 10
160,  4,   550223.41993,  4528812.22812, 10
159,  4,   550046.38837,  4529128.50382, 10
158,  4,   549913.81195,  4529281.59260, 10
157,  4,   549777.12052,  4529194.21626, 10
156,  4,   549713.58119,  4528925.21434, 10
155,  4,   549571.04992,  4528801.36286, 10
154,  4,   549417.17466,  4529002.31332, 10
153,  4,   549393.60357,  4529376.44536, 10
152,  4,   549252.47129,  4529699.45576, 10
151,  4,   549196.83817,  4529928.05681, 10
234,  5,   550291.57865,  4510199.57560, 10
233,  5,   550152.43012,  4510953.22996, 10
232,  5,   550052.66415,  4511569.62569, 10
231,  5,   549888.16657,  4512091.79546, 10
230,  5,   549533.63317,  4512610.15153, 10
229,  5,   549111.03537,  4513099.93298, 10
228,  5,   548863.96947,  4513511.26300, 10
227,  5,   548827.17981,  4513894.94830, 10
226,  5,   548842.40961,  4514316.03901, 10
225,  5,   548722.97623,  4514615.39521, 10
224,  5,   548686.34439,  4514774.44832, 10
223,  5,   548702.70363,  4514974.17865, 10
