$Lewiston qdt year 2016 YC 06/21/22,
20.083,5.572606767
20.125,2.064011433
20.167,3.674709433
20.208,4.697011433
20.25,7.028606767
20.292,2.639709433
20.333,1.6358121
20.375,6.117908767
20.417,1.6181141
20.458,4.063709433
20.5,6.410908767
20.542,3.301011433
20.583,2.1120874
20.625,1.4111691
20.667,6.741908767
20.708,3.239984733
20.75,4.220066433
20.792,0.8991141
20.833,5.097984733
20.875,4.584066433
20.917,0.1570874
20.958,5.178011433
21,4.616298433
21.042,0.9294354
21.083,3.640243433
21.125,-0.4195379
21.167,4.733243433
21.208,2.1254621
21.25,3.838243433
21.292,4.895243433
21.333,0.7074621
21.375,5.034243433
21.417,0.3594621
21.458,-0.7625945
21.5,2.6424621
21.542,5.9484621
21.583,3.383243433
21.625,4.246243433
21.667,-1.348319233
21.708,0.4434621
21.75,38.01196343
21.792,-33.2353199
21.833,5.225243433
21.875,6.435243433
21.917,5.033243433
21.958,-0.160319233
22,3.163243433
22.042,3.383243433
22.083,1.023680767
22.125,10.76302477
22.167,8.7588061
22.208,-5.611319233
22.25,-7.110345933
22.292,8.036024767
22.333,4.191243433
22.375,-0.460045567
22.417,6.361998067
22.458,16.0213321
22.5,3.450919633
22.542,-15.53356857
22.583,10.6836153
22.625,0.9144354
22.667,-9.1295379
22.708,31.78948407
22.75,4.3883168
22.792,3.9271189
22.833,5.497873033
22.875,-1.951755167
22.917,-20.81680997
22.958,5.823513767
23,-4.082319233
23.042,0.738024767
23.083,1.0494621
23.125,5.117024767
23.167,0.465680767
23.208,4.0714621
23.25,4.6874621
23.292,3.5198061
23.333,0.8614621
23.375,3.383243433
23.417,-1.660319233
23.458,1.7394621
23.5,5.544024767
23.542,1.9734621
23.583,4.705243433
23.625,1.9264621
23.667,3.4564621
23.708,8.242216733
23.75,-5.056701567
23.792,18.28289567
23.833,1.80391833
23.875,5.7150677
23.917,-16.0981603
23.958,5.39202497
24,-2.4915379
24.042,-4.5525646
24.083,4.033243433
24.125,2.3055171
24.167,4.9624354
24.208,1.2554621
24.25,3.974243433
24.292,2.682243433
24.333,1.6664621
24.375,2.4194621
24.417,4.499243433
24.458,2.9744621
24.5,1.0344621
24.542,4.223243433
24.583,14.26132523
24.625,-1.5431781
24.667,9.78603317
24.708,6.2979276
24.75,12.21694237
24.792,-6.4852247
24.833,-4.319410467
24.875,-2.843156667
24.917,0.4224271
24.958,4.214433033
25,-13.4269091
25.042,7.241743567
25.083,1.903216733
25.125,-3.961264233
25.167,0.951216733
25.208,2.8684621
25.25,25.82391573
25.292,11.60540013
25.333,4.054321667
25.375,-5.2215597
25.417,-1.6218565
25.458,1.595074333
25.5,-34.11795567
25.542,10.0188396
25.583,2.683011433
25.625,-5.670783233
25.667,-2.2158859
25.708,3.1171141
25.75,7.995908767
25.792,3.5861141
25.833,0.6138121
25.875,0.4251141
25.917,0.7591141
25.958,5.293011433
26,1.2331141
26.042,1.2941141
26.083,4.841011433
26.125,0.7331141
26.167,1.1561141
26.208,4.363011433
26.25,2.6270874
26.292,2.7031691
26.333,1.616011433
26.375,1.5344354
26.417,1.9985171
26.458,1.5824621
26.5,2.4074354
26.542,0.8855171
26.583,23.00564463
26.625,2.970798
26.667,1.0769802
26.708,6.633797333
26.75,0.3777504
26.792,-3.641917033
26.833,-3.685555033
26.875,2.755081533
26.917,-32.87113297
26.958,5.45087567
27,4.369011433
27.042,-2.0678859
27.083,-3.559783233
27.125,-2.8468859
27.167,9.140011433
27.208,1.045216767
27.25,2.861011433
27.292,1.8371141
27.333,0.1311141
27.375,3.764011433
27.417,-1.585783233
27.458,3.6531141
27.5,4.237011433
27.542,1.2501141
27.583,1.3351141
27.625,3.881011433
27.667,-2.095783233
27.708,23.9136074
27.75,3.982310367
27.792,5.366249767
27.833,1.992332533
27.875,-29.44540553
27.917,6.75212537
27.958,-3.656988567
28,-5.004783233
28.042,-2.4409126
28.083,1.685066433
28.125,4.617216767
28.167,1.9891141
28.208,5.007011433
28.25,0.9280874
28.292,0.3471691
28.333,4.118011433
28.375,3.789984733
28.417,3.668066433
28.458,4.577984733
28.5,3.603009833
28.542,1.409144
28.583,-2.606546667
28.625,6.509832333
28.667,0.383554533
28.708,28.3773611
28.75,6.530140067
28.792,-34.19978573
28.833,16.48395423
28.875,2.554280567
28.917,-5.5299463
28.958,-3.2479352
29,7.011960133
29.042,4.763639833
29.083,9.8318061
29.125,5.468908767
29.167,10.7738061
29.208,0.9751141
29.25,14.24960077
29.292,13.68260077
29.333,6.006908767
29.375,18.07909063
29.417,24.0249903
29.458,-7.5803031
29.5,10.68661787
29.542,16.78785127
29.583,11.47100973
29.625,21.02133663
29.667,42.61889807
29.708,-19.56021377
29.75,23.97970737
29.792,24.07435277
29.833,-19.0595341
29.875,2.221269167
29.917,15.08870343
29.958,6.0498061
30,-3.647045167
30.042,15.9468627
30.083,14.5797794
30.125,3.403009833
30.167,4.6228627
30.208,8.4027794
30.25,-1.554988567
30.292,8.075907167
30.333,7.480041333
30.375,9.9188061
30.417,4.206009833
30.458,10.67093867
30.5,-1.339988567
30.542,5.824009833
30.583,1.393041333
30.625,5.956908767
30.667,-0.000990167
30.708,32.3327306
30.75,4.37066143
30.792,9.1135549
30.833,-23.5115958
30.875,13.17756753
30.917,-5.078988567
30.958,-6.6668859
31,0.938011433
31.042,4.397011433
31.083,5.155011433
31.125,6.749011433
31.167,4.179011433
31.208,2.201011433
31.25,3.120984733
31.292,2.860066433
31.333,2.8340874
31.375,5.758011433
31.417,3.301011433
31.458,-1.0758859
31.5,1.333011433
31.542,3.7418061
31.583,-2.9168859
31.625,9.172011433
31.667,7.5551141
31.708,-1.400783233
31.75,30.6601243
31.792,7.2568317
31.833,-13.35575377
31.875,0.192088367
31.917,-19.1238925
31.958,10.85821343
32,6.577908767
32.042,-3.2768859
32.083,0.545011433
32.125,-1.5658859
32.167,3.9211141
32.208,6.698011433
32.25,5.827011433
32.292,-1.916783233
32.333,3.301011433
32.375,3.605011433
32.417,1.2991141
32.458,3.507011433
32.5,0.8771141
32.542,1.3091141
32.583,3.854011433
32.625,1.3951141
32.667,1.9599253
32.708,22.29085113
32.75,3.4963387
32.792,4.321111667
32.833,2.3135836
32.875,-22.17087893
32.917,3.13070717
32.958,-0.7088859
33,2.689882067
33.042,-12.01862557
33.083,5.214984733
33.125,5.675066433
33.167,6.152984733
33.208,0.0981141
33.25,4.513066433
33.292,1.6410874
33.333,4.394011433
33.375,0.4981691
33.417,1.4620874
33.458,1.2371691
33.5,4.106984733
33.542,1.7121141
33.583,1.9771141
33.625,1.9021141
33.667,3.370011433
33.708,12.484632
33.75,14.55842747
33.792,12.09163017
33.833,-0.162052167
33.875,-10.71554537
33.917,-29.0696002
33.958,4.57182947
34,5.521908767
34.042,-5.278783233
34.083,-1.5568859
34.125,0.2321141
34.167,2.9351141
34.208,4.897011433
34.25,3.1651141
34.292,0.1691141
34.333,2.2880874
34.375,2.4961141
34.417,-0.0798309
34.458,4.979984733
34.5,1.7821691
34.542,1.1580874
34.583,1.7141141
34.625,4.389011433
34.667,0.7381141
34.708,21.908086
34.75,5.2655641
34.792,-21.3404518
34.833,6.5299997
34.875,3.727011433
34.917,-8.890680567
34.958,-2.8338859
35,0.8351141
35.042,8.637011433
35.083,1.1891141
35.125,2.5631141
35.167,1.3531141
35.208,0.9821141
35.25,0.7221141
35.292,3.997011433
35.333,-0.208783233
35.375,2.1031141
35.417,1.6831141
35.458,3.547652833
35.5,-1.115951533
35.542,5.194243433
35.583,0.6314621
35.625,1.4604621
35.667,-1.0505379
35.708,23.1619419
35.75,7.032424767
35.792,13.97160343
35.833,-27.68309153
35.875,3.93447637
35.917,2.001011433
35.958,-16.60778323
36,-7.122783233
36.042,6.783984733
36.083,4.6351691
36.125,6.439011433
36.167,-2.834809933
36.208,3.957825433
36.25,0.8694621
36.292,0.1224621
36.333,2.8842151
36.375,-0.207345933
36.417,2.8094621
36.458,1.3975171
36.5,0.8644354
36.542,1.9244621
36.583,2.0154621
36.625,3.750243433
36.667,-1.660319233
36.708,24.94587973
36.75,2.4289184
36.792,6.173022733
36.833,5.763361233
36.875,-36.47290393
36.917,4.0636969
36.958,0.238216767
37,-6.2018859
37.042,-9.596783233
37.083,4.8891141
37.125,9.311011433
37.167,-2.244783233
37.208,5.083011433
37.25,1.1582301
37.292,2.4124621
37.333,2.2964621
37.375,1.3494621
37.417,-1.960319233
37.458,4.252243433
37.5,-0.758319233
37.542,5.197243433
37.583,1.6124621
37.625,0.1314621
37.667,1.4094621
37.708,13.5335429
37.75,10.81752467
37.792,10.53814523
37.833,-5.43092933
37.875,-4.617442
37.917,-26.8548003
37.958,2.265462067
38,3.9471691
38.042,-1.437693933
38.083,-0.0785379
38.125,1.5205171
38.167,3.1544354
38.208,4.0084621
38.25,0.3144621
38.292,0.3144621
38.333,1.5584621
38.375,2.3464621
38.417,1.8734621
38.458,-2.495319233
38.5,1.4574621
38.542,2.3284621
38.583,6.419243433
38.625,-2.683319233
38.667,15.8245996
38.708,9.9247362
38.75,2.8091744
38.792,6.957238133
38.833,-38.62220793
38.875,13.6058632
38.917,-3.2895379
38.958,-10.14910057
39,-8.557756567
39.042,3.3464621
39.083,16.1524621
39.125,-1.660319233
39.167,-2.445319233
39.208,5.271024767
39.25,5.8474621
39.292,-1.660319233
39.333,5.081680767
39.375,2.166243433
39.417,0.5394621
39.458,3.950243433
39.5,-3.208319233
39.542,3.818216733
39.583,-1.821264233
39.625,25.18868073
39.667,3.633940767
39.708,3.654045467
39.75,-0.897460133
39.792,-1.643294333
39.833,-31.94426117
39.875,9.7286178
39.917,2.8774621
39.958,-10.79034973
40,-1.2825646
40.042,4.7542151
40.083,6.1991712
40.125,1.3424243
40.167,-1.426838333
40.208,1.0984621
40.25,3.1314621
40.292,1.3341601
40.333,1.5344621
40.375,2.0384621
40.417,1.6194621
40.458,1.4724621
40.5,0.7014621
40.542,2.2801601
40.583,2.5354621
40.625,0.8274621
40.667,31.1228381
40.708,31.71840077
40.75,33.60540077
40.792,37.4061821
40.833,35.11440077
40.875,6.679024767
40.917,8.1918061
40.958,-0.727319233
41,-1.660319233
41.042,-1.524319233
41.083,6.419243433
41.125,4.313243433
41.167,-1.339319233
41.208,-1.762319233
41.25,4.666243433
41.292,2.2894621
41.333,1.3294354
41.375,-0.462264233
41.417,0.5574354
41.458,4.159298433
41.5,-1.240319233
41.542,2.8334621
41.583,2.2744621
41.625,-0.6505646
41.667,37.5202371
41.708,42.7645261
41.75,45.86428073
41.792,43.8475811
41.833,44.6440074
41.875,45.46416343
41.917,8.0558061
41.958,6.768908767
42,2.2641141
42.042,-1.449783233
42.083,-0.541783233
42.125,4.136011433
42.167,0.6381141
42.208,0.9731141
42.25,0.7391141
42.292,23.00351177
42.333,16.18181747
42.375,-28.77495943
42.417,7.68749877
42.458,-7.9948859
42.5,-8.085783233
42.542,-2.6008859
42.583,-0.5168859
42.625,4.3281141
42.667,4.8720874
42.708,-2.2898309
42.75,19.4112985
42.792,17.8099998
42.833,-25.82056053
42.875,9.5793344
42.917,-13.1038859
42.958,-9.166728233
43,-3.830809933
43.042,2.8251141
43.083,0.8801691
43.125,5.0340874
43.167,2.2231141
43.208,-2.129783233
43.25,1.167066433
43.292,26.5375766
43.333,-1.34615807
43.375,-31.40191503
43.417,11.8391979
43.458,-12.9087593
43.5,0.083406
43.542,1.5184764
43.583,-0.2288588
43.625,4.974421167
43.667,7.383842533
43.708,20.3680237
43.75,6.3246286
43.792,11.49360337
43.833,-28.24860287
43.875,3.93357127
43.917,-4.5698859
43.958,-10.37466723
44,25.99022007
44.042,1.093745
44.083,5.4599316
44.125,-2.1076986
44.167,-0.3342577
44.208,-2.7013305
44.25,-1.773262633
44.292,-35.82376467
44.333,5.65312717
44.375,1.757983833
44.417,-3.479636533
44.458,-6.433664433
44.5,5.864069333
44.542,4.996344
44.583,7.479734733
44.625,1.109897267
44.667,0.5254288
44.708,24.11658993
44.75,0.9606047
44.792,8.4945247
44.833,6.595753767
44.875,4.4470985
44.917,-1.754658367
44.958,-1.186366733
45,-2.0503171
45.042,2.229254033
45.083,-5.930606033
45.125,-2.2968245
45.167,0.524530633
45.208,-0.3195771
45.25,-3.964520467
45.292,-35.13322327
45.333,4.13045207
45.375,2.863644433
45.417,-1.953083433
45.458,-0.3500259
45.5,-2.098302533
45.542,11.43362057
45.583,0.145213467
45.625,7.278656067
45.667,7.3885345
45.708,15.38329807
45.75,10.82071633
45.792,-2.3957374
45.833,-0.310848167
45.875,-1.366176167
45.917,-4.834417867
45.958,-6.943387933
46,-13.2720311
46.042,-0.8452722
46.083,3.068984733
46.125,-3.8948859
46.167,-3.748783233
46.208,1.1651141
46.25,2.6921141
46.292,1.6501141
46.333,3.2601141
46.375,-1.593783233
46.417,1.3821141
46.458,1.6811141
46.5,0.1611141
46.542,1.9451141
46.583,-0.684783233
46.625,2.2141141
46.667,2.3141141
46.708,-0.3518859
46.75,19.4399164
46.792,3.31225597
46.833,1.118921533
46.875,1.4714967
46.917,-32.76001637
46.958,9.08266917
47,0.008011433
47.042,0.5811141
47.083,-8.555680567
47.125,1.7111141
47.167,-2.712809933
47.208,8.647963767
47.25,1.4351141
47.292,-0.086809933
47.333,-1.134728233
47.375,2.0831141
47.417,2.0830874
47.458,1.1011691
47.5,1.6670874
47.542,-2.113680567
47.583,-7.00458977
47.625,2.069252933
47.667,-1.980991933
47.708,19.41491153
47.75,14.98330617
47.792,15.92034863
47.833,4.055860933
47.875,-30.91459347
47.917,-3.16140543
47.958,-2.286988567
48,-2.447783233
48.042,-2.9668859
48.083,-1.576783233
48.125,6.6591141
48.167,5.407011433
48.208,0.842216767
48.25,-8.4635626
48.292,-1.611589467
48.333,6.79645343
48.375,9.684765
48.417,3.383243433
48.458,2.258680767
48.5,4.0644621
48.542,-1.019100567
48.583,6.863243433
48.625,-0.4625379
48.667,-6.983319233
48.708,-2.2825153
48.75,-3.072838933
48.792,6.1863444
48.833,17.6079471
48.875,18.368596
48.917,-21.36768493
48.958,5.3305228
49,3.40083717
49.042,-11.07631967
49.083,-1.370536733
49.125,-0.624944167
49.167,5.1972446
49.208,1.875243
49.25,-1.7627255
49.292,4.948024333
49.333,1.474493167
49.375,-1.612536733
49.417,4.061024333
49.458,-0.520506833
49.5,3.728025933
49.542,0.623463267
49.583,-1.652536733
49.625,3.996025933
49.667,0.4602446
49.708,14.44686957
49.75,8.7082455
49.792,-0.4216157
49.833,4.1477099
49.875,-25.49758217
49.917,2.418674867
49.958,-1.125536733
50,-3.439536733
50.042,-6.1887554
50.083,7.887025933
50.125,4.426463267
50.167,-1.1227554
50.208,3.979025933
50.25,1.142463267
50.292,9.980463267
50.333,-8.955536733
50.375,0.958807267
50.417,5.401807267
50.458,16.34140953
50.5,10.6243315
50.542,3.305412
50.583,5.451364733
50.625,-4.440245467
50.667,-34.6552076
50.708,-0.3533744
50.75,1.197823833
50.792,-4.455899667
50.833,-6.564000733
50.875,6.521823833
50.917,1.754895
50.958,3.6168966
51,1.1302745
51.042,1.468243
51.083,0.7382745
51.125,2.6512446
51.167,-1.394538333
51.208,1.0492745
51.25,2.446243
51.292,2.4952745
51.333,0.8802446
51.375,1.4792446
51.417,-0.308536733
51.458,-0.0097554
51.5,3.837025933
51.542,0.914463267
51.583,2.1692446
51.625,-0.2827554
51.667,16.13517497
51.708,8.6379164
51.75,1.2049652
51.792,-2.568409233
51.833,5.7987658
51.875,-29.3222739
51.917,2.85767847
51.958,-2.726000733
52,-3.894000733
52.042,-6.6901034
52.083,7.1638966
52.125,1.9058966
52.167,3.4770126
52.208,-1.157536733
52.25,1.3802446
52.292,4.738025933
52.333,-1.669536733
52.375,2.0232446
52.417,-1.891536733
52.458,4.788025933
52.5,0.233463267
52.542,0.6732745
52.583,1.354243
52.625,-1.652536733
52.667,15.409104
52.708,7.446244967
52.75,5.531995767
52.792,6.235990867
52.833,-32.98721567
52.875,8.598717167
52.917,-3.115176167
52.958,-9.143318067
53,-6.266538333
53.042,9.940055833
53.083,3.4902446
53.125,1.6582446
53.167,2.0502446
53.208,-1.770536733
53.25,2.7492446
53.292,1.0832446
53.333,2.1292446
53.375,-0.840536733
53.417,2.1062446
53.458,-1.605536733
53.5,4.674025933
53.542,-1.554536733
53.583,3.3492446
53.625,3.0672446
53.667,-1.4677554
53.708,15.49760327
53.75,7.39968227
53.792,0.6977725
53.833,3.533428
53.875,2.9081719
53.917,-34.08281663
53.958,2.194758267
54,2.2808966
54.042,-7.436898067
54.083,-3.0808714
54.125,3.421025933
54.167,5.9392446
54.208,-0.420536733
54.25,0.9875446
54.292,2.5622446
54.333,-0.1647554
54.375,0.800463267
54.417,2.2282745
54.458,1.735243
54.5,1.2865446
54.542,1.7282745
54.583,-1.628538333
54.625,16.0088938
54.667,4.410351233
54.708,-5.61460443
54.75,-6.77256217
54.792,14.62603963
54.833,2.20894607
54.875,4.2349509
54.917,-8.24248787
54.958,-18.2522908
55,7.436070167
55.042,-8.0201034
55.083,-7.266898067
55.125,-1.6191034
55.167,3.9198966
55.208,1.1858966
55.25,15.82369817
55.292,20.55399167
55.333,-10.58548583
55.375,-10.29318177
55.417,-4.507977267
55.458,-3.808180467
55.5,-7.0956008
55.542,-1.069930367
55.583,-20.7011494
55.625,1.455451833
55.667,10.45076743
55.708,1.810796467
55.75,-8.505537467
55.792,-0.5722999
55.833,1.5754565
55.875,2.255122367
55.917,3.1674947
55.958,-2.163661133
56,1.5552572
56.042,0.6714947
56.083,-0.952877633
56.125,3.6227112
56.167,0.165359867
56.208,1.2600197
56.25,1.6668427
56.292,2.2393677
56.333,-1.901938633
56.375,1.5086052
56.417,0.100586367
56.458,2.1888427
56.5,3.6796052
56.542,-0.535176133
56.583,-0.0243948
56.625,15.53231967
56.667,15.27842653
56.708,-29.89154717
56.75,2.082123867
56.792,1.385811733
56.833,26.1235314
56.875,-30.9572002
56.917,5.83870777
56.958,0.150359867
57,-7.804189467
57.042,-2.564433
57.083,2.4006052
57.125,4.2686052
57.167,1.397823867
57.208,2.0666052
57.25,-1.608176133
57.292,1.8086052
57.333,2.2666052
57.375,1.1666052
57.417,-1.417176133
57.458,2.9393078
57.5,0.346893567
57.542,2.0376052
57.583,1.1277934
57.625,16.08386667
57.667,6.876892167
57.708,-2.743696533
57.75,4.4466555
57.792,-1.929957033
57.833,3.825099467
57.875,-34.05730613
57.917,6.2341081
