"$Flow file for segment 109, flow allocation from historic 2016 WHI Run YC 08/14/2023",,,
",,,",,,
JDAY,WdamL,WdamU,Spill
14.292,0,5.734,0
14.333,0,5.75,0
14.375,0,5.75,0
14.417,0,5.766,0
14.458,0,5.734,0
14.500,0,5.75,0
14.542,0,5.75,0
14.583,0,5.75,0
14.625,0,5.75,0
14.667,0,5.75,0
14.708,0,5.75,0
14.750,0,5.75,0
14.792,0,5.75,0
14.833,0,5.75,0
14.875,0,5.75,0
14.917,0,5.75,0
14.958,0.254,5.48,0
15.000,0,5.734,0
15.042,0.089,5.661,0
15.083,0,5.766,0
15.125,0,5.75,0
15.167,0,5.75,0
15.208,0,5.734,0
15.250,0.2,5.55,0
15.292,0.048,5.702,0
15.333,0,5.75,0
15.375,0,5.75,0
15.417,0,5.766,0
15.458,0,5.734,0
15.500,0,5.766,0
15.542,0,5.734,0
15.583,0,5.75,0
15.625,0,5.75,0
15.667,0.474,5.276,0
15.708,0.28,5.47,0
15.750,0,5.75,0
15.792,0.083,5.635,0
15.833,0.01,5.74,0
15.875,0.098,5.652,0
15.917,0.026,5.724,0
15.958,0.067,5.683,0
16.000,0.112,5.638,0
16.042,0.161,5.589,0
16.083,0.199,5.535,0
16.125,0.212,5.554,0
16.167,0.147,5.603,0
16.208,0.991,4.759,0
16.250,0.14,5.61,0
16.292,0.048,5.702,0
16.333,0.019,5.731,0
16.375,0,5.734,0
16.417,0,5.75,0
16.458,0,5.75,0
16.500,0,5.766,0
16.542,0,5.75,0
16.583,0,5.734,0
16.625,0.076,5.674,0
16.667,0.088,5.662,0
16.708,0.955,4.795,0
16.750,1,4.734,0
16.792,1.054,4.696,0
16.833,1.106,4.66,0
16.875,1.12,4.63,0
16.917,0.226,5.508,0
16.958,1.1,4.65,0
17.000,1.105,4.645,0
17.042,1.115,4.635,0
17.083,1.126,4.64,0
17.125,1.13,4.604,0
17.167,1.142,4.608,0
17.208,0.183,5.567,0
17.250,1.109,4.641,0
17.292,1.086,4.664,0
17.333,0.086,5.664,0
17.375,1.065,4.685,0
17.417,0.045,5.705,0
17.458,0,5.734,0
17.500,0,5.766,0
17.542,0,5.734,0
17.583,0,5.75,0
17.625,0,5.75,0
17.667,0,5.75,0
17.708,0,5.75,0
17.750,0,5.75,0
17.792,0,5.75,0
17.833,0,5.75,0
17.875,0,5.75,0
17.917,0,5.75,0
17.958,0,5.75,0
18.000,0,5.752,0
18.042,0,5.752,0
18.083,0,5.752,0
18.125,0,5.752,0
18.167,0,5.752,0
18.208,0,5.752,0
18.250,0,5.752,0
18.292,0,5.736,0
18.333,0,5.752,0
18.375,0,5.752,0
18.417,0,5.752,0
18.458,0,5.752,0
18.500,0,5.752,0
18.542,0,5.736,0
18.583,0,5.752,0
18.625,0,5.768,0
18.667,0,5.752,0
18.708,0,5.752,0
18.750,0,5.752,0
18.792,0,5.736,0
18.833,0,5.752,0
18.875,0,5.752,0
18.917,0,5.752,0
18.958,0,5.752,0
19.000,0,5.768,0
19.042,0,5.72,0
19.083,0,5.752,0
19.125,0,5.752,0
19.167,0,5.752,0
19.208,0,5.752,0
19.250,0,5.752,0
19.292,0,5.736,0
19.333,0,5.752,0
19.375,0,5.752,0
19.417,0,5.768,0
19.458,0,5.736,0
19.500,0,5.752,0
19.542,0,5.752,0
19.583,0,5.752,0
19.625,0,5.752,0
19.667,0,5.752,0
19.708,0,5.752,0
19.750,0,5.752,0
19.792,0,5.752,0
19.833,0,5.752,0
19.875,0,5.752,0
19.917,0,5.752,0
19.958,0,5.752,0
20.000,0,5.752,0
20.042,0,5.752,0
20.083,0,5.736,0
20.125,0,5.752,0
20.167,0,5.752,0
20.208,0,5.768,0
20.250,0,5.736,0
20.292,0,5.736,0
20.333,0,5.752,0
20.375,0,5.752,0
20.417,0,5.752,0
20.458,0,5.736,0
20.500,0,5.768,0
20.542,0,5.752,0
20.583,0,5.752,0
20.625,0,5.752,0
20.667,0,5.752,0
20.708,0,5.72,0
20.750,0,5.752,0
20.792,0,5.752,0
20.833,0,5.752,0
20.875,0,5.752,0
20.917,0,5.736,0
20.958,0,5.768,0
21.000,0,5.752,0
21.042,0,5.752,0
21.083,0,5.736,0
21.125,0,5.752,0
21.167,0,5.768,0
21.208,0,5.736,0
21.250,0,5.752,0
21.292,0,5.752,0
21.333,0,5.752,0
21.375,0,5.752,0
21.417,0,5.752,0
21.458,0,5.752,0
21.500,0,5.752,0
21.542,0,5.736,0
21.583,0,5.752,0
21.625,0,5.752,0
21.667,0,5.736,0
21.708,0.189,5.579,0
21.750,0.636,5.116,0
21.792,0.862,4.89,0
21.833,0.879,4.873,0
21.875,0.893,4.859,0
21.917,0.976,4.776,0
21.958,1.047,4.705,0
22.000,1.12,4.616,0
22.042,2.487,3.265,0
22.083,2.622,3.13,0
22.125,2.6,3.152,0
22.167,1.061,4.691,0
22.208,2.166,3.602,0
22.250,1.73,4.006,0
22.292,0,5.752,0
22.333,0.986,4.766,0
22.375,0,5.752,0
22.417,0,5.752,0
22.458,0,5.752,0
22.500,1.487,4.265,0
22.542,1.968,3.784,0
22.583,2.622,3.13,0
22.625,0,5.752,0
22.667,0,5.752,0
22.708,0,5.752,0
22.750,0,5.752,0
22.792,0,5.752,0
22.833,0,5.752,0
22.875,2.509,3.243,0
22.917,0,5.752,0
22.958,5.736,0,0
23.000,5.752,0,0
23.042,0,5.752,0
23.083,0,5.768,0
23.125,0,5.736,0
23.167,1.075,4.677,0
23.208,0,5.736,0
23.250,0,5.736,0
23.292,0,5.752,0
23.333,0,5.752,0
23.375,0,5.752,0
23.417,0,5.752,0
23.458,0,5.752,0
23.500,0,5.752,0
23.542,0,5.752,0
23.583,0,5.752,0
23.625,2.876,2.876,0
23.667,0,5.752,0
23.708,0,5.752,0
23.750,0,5.752,0
23.792,0,5.736,0
23.833,0,5.752,0
23.875,0,5.752,0
23.917,0,5.752,0
23.958,0,5.736,0
24.000,0,5.752,0
24.042,0,5.752,0
24.083,0,5.752,0
24.125,0,5.752,0
24.167,0,5.752,0
24.208,0,5.752,0
24.250,0,5.752,0
24.292,0,5.752,0
24.333,0,5.752,0
24.375,0,5.752,0
24.417,0,5.752,0
24.458,0,5.752,0
24.500,0,5.736,0
24.542,0,5.752,0
24.583,0,5.752,0
24.625,0,5.768,0
24.667,0,5.752,0
24.708,0,5.752,0
24.750,0,5.736,0
24.792,0,5.736,0
24.833,0,5.768,0
24.875,0,5.752,0
24.917,0,5.752,0
24.958,0,5.752,0
25.000,0,5.736,0
25.042,0,5.768,0
25.083,0,5.752,0
25.125,0,5.752,0
25.167,0,5.736,0
25.208,0,5.752,0
25.250,0,5.752,0
25.292,0,5.752,0
25.333,0,5.752,0
25.375,0,5.752,0
25.417,0,5.752,0
25.458,0,5.752,0
25.500,0,5.752,0
25.542,0,5.752,0
25.583,0,5.752,0
25.625,0,5.752,0
25.667,0,5.72,0
25.708,0,5.752,0
25.750,0,5.752,0
25.792,0,5.752,0
25.833,0,5.752,0
25.875,0,5.752,0
25.917,0,5.752,0
25.958,0,5.752,0
26.000,0,5.752,0
26.042,0,5.752,0
26.083,0,5.752,0
26.125,0,5.752,0
26.167,0,5.752,0
26.208,0,5.752,0
26.250,0,5.752,0
26.292,0,5.752,0
26.333,0,5.752,0
26.375,0,5.752,0
26.417,0,5.736,0
26.458,0,5.736,0
26.500,0,5.752,0
26.542,0,5.752,0
26.583,0,5.752,0
26.625,0,5.752,0
26.667,0,5.752,0
26.708,0,5.752,0
26.750,0,5.752,0
26.792,0,5.752,0
26.833,0,5.752,0
26.875,0,5.752,0
26.917,0,5.752,0
26.958,0,5.752,0
27.000,0,5.752,0
27.042,0,5.752,0
27.083,0,5.752,0
27.125,0,5.752,0
27.167,0,5.752,0
27.208,0,5.752,0
27.250,0,5.752,0
27.292,0,5.752,0
27.333,0,5.752,0
27.375,0,5.752,0
27.417,0,5.752,0
27.458,0,5.752,0
27.500,0,5.736,0
27.542,0,5.752,0
27.583,0,5.768,0
27.625,0,5.752,0
27.667,0,5.752,0
27.708,0,5.736,0
27.750,0,5.752,0
27.792,0,5.752,0
27.833,0,5.752,0
27.875,0,5.752,0
27.917,0,5.752,0
27.958,0,5.736,0
28.000,0,5.752,0
28.042,0,5.752,0
28.083,0,5.752,0
28.125,0,5.752,0
28.167,0,5.752,0
28.208,0,5.752,0
28.250,0,5.752,0
28.292,0,5.752,0
28.333,0,5.752,0
28.375,0,5.756,0
28.417,0,5.804,0
28.458,0,5.804,0
28.500,0,5.804,0
28.542,0,5.804,0
28.583,0,5.804,0
28.625,0,5.804,0
28.667,0,5.804,0
28.708,0,5.804,0
28.750,0,5.804,0
28.792,0,5.804,0
28.833,0,5.8,0
28.875,0,5.746,0
28.917,0,5.746,0
28.958,0,5.746,0
29.000,0,5.746,0
29.042,0,5.73,0
29.083,0,5.746,0
29.125,0,5.762,0
29.167,0,5.746,0
29.208,0,5.73,0
29.250,0,5.762,0
29.292,0,5.73,0
29.333,0,5.746,0
29.375,0,5.762,0
29.417,0,5.746,0
29.458,0,5.746,0
29.500,0,5.746,0
29.542,0,5.73,0
29.583,0,5.746,0
29.625,0,5.746,0
29.667,0,5.73,0
29.708,0,5.746,0
29.750,0,5.746,0
29.792,0,5.746,0
29.833,0,5.73,0
29.875,0,5.746,0
29.917,0,5.746,0
29.958,0,5.762,0
30.000,0,5.746,0
30.042,0,5.746,0
30.083,0,5.73,0
30.125,0,5.746,0
30.167,0,5.746,0
30.208,0,5.746,0
30.250,0,5.746,0
30.292,0,5.746,0
30.333,0,5.746,0
30.375,0,5.746,0
30.417,0,5.746,0
30.458,0,5.746,0
30.500,0,5.746,0
30.542,0,5.746,0
30.583,0,5.746,0
30.625,0,5.746,0
30.667,0,5.746,0
30.708,0,5.746,0
30.750,0,5.746,0
30.792,0,5.746,0
30.833,0,5.746,0
30.875,0,5.746,0
30.917,0,5.746,0
30.958,0,5.746,0
31.000,0,5.746,0
31.042,0,5.746,0
31.083,0,5.746,0
31.125,0,5.746,0
31.167,0,5.746,0
31.208,0,5.73,0
31.250,0,5.73,0
31.292,0,5.746,0
31.333,0,5.746,0
31.375,0,5.73,0
31.417,0,5.746,0
31.458,0,5.746,0
31.500,0,5.746,0
31.542,0,5.746,0
31.583,0,5.762,0
31.625,0.707,5.023,0
31.667,1.787,3.959,0
31.708,2.045,3.717,0
31.750,1.922,3.808,0
31.792,2.13,3.616,0
31.833,2.217,3.529,0
31.875,1.592,4.154,0
31.917,0,5.746,0
31.958,0.069,5.677,0
32.000,0,5.746,0
32.042,0,5.746,0
32.083,0,5.746,0
32.125,0,5.73,0
32.167,0,5.746,0
32.208,0,5.746,0
32.250,0,5.746,0
32.292,0,5.746,0
32.333,0,5.746,0
32.375,0,5.746,0
32.417,0,5.746,0
32.458,0,5.746,0
32.500,0,5.746,0
32.542,0,5.746,0
32.583,0,5.73,0
32.625,0,5.762,0
32.667,0,5.746,0
32.708,0,5.746,0
32.750,0,5.746,0
32.792,0,5.73,0
32.833,0,5.746,0
32.875,0,5.746,0
32.917,0,5.762,0
32.958,0,5.73,0
33.000,0,5.746,0
33.042,0,5.746,0
33.083,0,5.746,0
33.125,0,5.746,0
33.167,0,5.746,0
33.208,0,5.746,0
33.250,0,5.746,0
33.292,0,5.746,0
33.333,0,5.746,0
33.375,0,5.746,0
33.417,0,5.746,0
33.458,0,5.746,0
33.500,0,5.746,0
33.542,0,5.746,0
33.583,0,5.746,0
33.625,0,5.746,0
33.667,0,5.746,0
33.708,0,5.746,0
33.750,0,5.746,0
33.792,0,5.746,0
33.833,0,5.746,0
33.875,0,5.746,0
33.917,0,5.746,0
33.958,0,5.746,0
34.000,0,5.746,0
34.042,0,5.746,0
34.083,0,5.746,0
34.125,0,5.73,0
34.167,0,5.746,0
34.208,0,5.762,0
34.250,0,5.73,0
34.292,0,5.746,0
34.333,0,5.762,0
34.375,0,5.746,0
34.417,0,5.73,0
34.458,0,5.746,0
34.500,0,5.746,0
34.542,0,5.746,0
34.583,0,5.746,0
34.625,0,5.746,0
34.667,0,5.746,0
34.708,0,5.746,0
34.750,0,5.746,0
34.792,0,5.746,0
34.833,0,5.714,0
34.875,0,5.746,0
34.917,0,5.746,0
34.958,0,5.746,0
35.000,0,5.746,0
35.042,0,5.746,0
35.083,0,5.746,0
35.125,0,5.746,0
35.167,0,5.746,0
35.208,0,5.746,0
35.250,0,5.746,0
35.292,0,5.73,0
35.333,0,5.746,0
35.375,0,5.746,0
35.417,0,5.746,0
35.458,0,5.746,0
35.500,0,5.746,0
35.542,0,5.746,0
35.583,0,5.746,0
35.625,0,5.746,0
35.667,0,5.746,0
35.708,0,5.746,0
35.750,0,5.746,0
35.792,0,5.746,0
35.833,0,5.746,0
35.875,0,5.746,0
35.917,0,5.746,0
35.958,0,5.746,0
36.000,0,5.746,0
36.042,0,5.746,0
36.083,0,5.746,0
36.125,0,5.746,0
36.167,0,5.746,0
36.208,0,5.746,0
36.250,0,5.746,0
36.292,0,5.746,0
36.333,0,5.746,0
36.375,0,5.73,0
36.417,0,5.746,0
36.458,0,5.762,0
36.500,0,5.714,0
36.542,0,5.746,0
36.583,0,5.746,0
36.625,0,5.746,0
36.667,0,5.746,0
36.708,0,5.746,0
36.750,0,5.746,0
36.792,0,5.746,0
36.833,0,5.746,0
36.875,0,5.746,0
36.917,0,5.746,0
36.958,0,5.746,0
37.000,0,5.746,0
37.042,0,5.746,0
37.083,0.197,5.549,0
37.125,0,5.746,0
37.167,0,5.746,0
37.208,0,5.73,0
37.250,0,5.746,0
37.292,0,5.762,0
37.333,0,5.714,0
37.375,0,5.73,0
37.417,0,5.746,0
37.458,0,5.746,0
37.500,0,5.746,0
37.542,0,5.746,0
37.583,0,5.746,0
37.625,0,5.746,0
37.667,0,5.746,0
37.708,0,5.746,0
37.750,1.732,4.014,0
37.792,1.668,4.078,0
37.833,1.61,4.136,0
37.875,3.34,2.406,0
37.917,3.319,2.427,0
37.958,3.279,2.467,0
38.000,5.746,0,0
38.042,3.018,2.728,0
38.083,2.851,2.879,0
38.125,2.668,3.078,0
38.167,0.963,4.783,0
38.208,0.847,4.899,0
38.250,0,5.73,0
38.292,0,5.746,0
38.333,0,5.762,0
38.375,0,5.73,0
38.417,0,5.746,0
38.458,0,5.746,0
38.500,0,5.746,0
38.542,1.847,3.899,0
38.583,2.614,3.148,0
38.625,2.965,2.781,0
38.667,1.471,4.259,0
38.708,2.086,3.66,0
38.750,2.881,2.881,0
38.792,2.873,2.873,0
38.833,1.969,3.761,0
38.875,1.764,3.982,0
38.917,2.873,2.873,0
38.958,2.865,2.865,0
39.000,1.296,4.45,0
39.042,2.881,2.881,0
39.083,0,5.73,0
39.125,0,5.746,0
39.167,0.679,5.067,0
39.208,2.12,3.626,0
39.250,2.216,3.53,0
39.292,1.467,4.279,0
39.333,1.875,3.871,0
39.375,0.719,5.027,0
39.417,0,5.746,0
39.458,0,5.746,0
39.500,0,5.746,0
39.542,0,5.746,0
39.583,0,5.746,0
39.625,1.679,4.051,0
39.667,2.992,2.754,0
39.708,4.123,1.623,0
39.750,4.083,1.647,0
39.792,4.066,1.68,0
39.833,4.081,1.665,0
39.875,4.137,1.625,0
39.917,4.114,1.616,0
39.958,4.036,1.71,0
40.000,3.939,1.823,0
40.042,3.855,1.875,0
40.083,2.658,3.088,0
40.125,3.858,1.888,0
40.167,4.001,1.745,0
40.208,4.85,0.88,0
40.250,4.005,1.741,0
40.292,4.745,1.001,0
40.333,4.645,1.101,0
40.375,3.729,2.017,0
40.417,2.285,3.461,0
40.458,2.323,3.423,0
40.500,2.111,3.603,0
40.542,1.964,3.782,0
40.583,1.831,3.915,0
40.625,1.751,3.995,0
40.667,3.163,2.583,0
40.708,4.221,1.525,0
40.750,4.224,1.522,0
40.792,4.257,1.489,0
40.833,5.746,0,0
40.875,5.746,0,0
40.917,5.746,0,0
40.958,5.746,0,0
41.000,5.746,0,0
41.042,5.746,0,0
41.083,5.746,0,0
41.125,5.746,0,0
41.167,5.746,0,0
41.208,5.746,0,0
41.250,5.746,0,0
41.292,5.746,0,0
41.333,5.746,0,0
41.375,4.992,0.738,0
41.417,5.101,0.629,0
41.458,4.328,1.418,0
41.500,4.43,1.332,0
41.542,3.275,2.455,0
41.583,3.34,2.406,0
41.625,4.54,1.206,0
41.667,5.476,0.27,0
41.708,5.746,0,0
41.750,5.746,0,0
41.792,5.746,0,0
41.833,5.746,0,0
41.875,5.746,0,0
41.917,5.746,0,0
41.958,5.746,0,0
42.000,5.746,0,0
42.042,5.746,0,0
42.083,5.73,0,0
42.125,5.746,0,0
42.167,5.762,0,0
42.208,5.746,0,0
42.250,5.714,0,0
42.292,5.746,0,0
42.333,5.733,0.013,0
42.375,5.746,0,0
42.417,4.933,0.813,0
42.458,3.883,1.863,0
42.500,3.837,1.909,0
42.542,4.834,0.912,0
42.583,4.835,0.911,0
42.625,5.586,0.16,0
42.667,5.746,0,0
42.708,5.746,0,0
42.750,5.566,0.18,0
42.792,5.602,0.144,0
42.833,5.746,0,0
42.875,5.746,0,0
42.917,5.746,0,0
42.958,5.746,0,0
43.000,5.714,0,0
43.042,5.746,0,0
43.083,5.746,0,0
43.125,5.746,0,0
43.167,5.746,0,0
43.208,5.746,0,0
43.250,5.746,0,0
43.292,5.746,0,0
43.333,5.746,0,0
43.375,5.746,0,0
43.417,5.746,0,0
43.458,4.837,0.893,0
43.500,5.762,0,0
43.542,4.907,0.839,0
43.583,3.633,2.113,0
43.625,4.905,0.825,0
43.667,4.951,0.795,0
43.708,5.746,0,0
43.750,5.746,0,0
43.792,5.762,0,0
43.833,5.714,0,0
43.875,5.746,0,0
43.917,5.746,0,0
43.958,5.746,0,0
44.000,5.746,0,0
44.042,5.746,0,0
44.083,5.746,0,0
44.125,5.746,0,0
44.167,5.238,0.508,0
44.208,5.284,0.462,0
44.250,3.167,2.579,0
44.292,3.997,1.749,0
44.333,1.646,4.1,0
44.375,0.595,5.151,0
44.417,0,5.746,0
44.458,0,5.746,0
44.500,0,5.746,0
44.542,0.172,5.574,0
44.583,2.39,3.356,0
44.625,3.454,2.276,0
44.667,3.497,2.265,0
44.708,4.287,1.443,0
44.750,5.596,0.15,0
44.792,5.63,0.116,0
44.833,4.301,1.445,0
44.875,4.304,1.442,0
44.917,3.385,2.361,0
44.958,0.367,5.379,0
45.000,1.559,4.187,0
45.042,0,5.746,0
45.083,0,5.746,0
45.125,0,5.746,0
45.167,0,5.746,0
45.208,0,5.746,0
45.250,0,5.73,0
45.292,0,5.746,0
45.333,0,5.746,0
45.375,0,5.746,0
45.417,0,5.746,0
45.458,0,5.746,0
45.500,0,5.746,0
45.542,0,5.73,0
45.583,0,5.746,0
45.625,0,5.73,0
45.667,0,5.746,0
45.708,0,5.746,0
45.750,0,5.762,0
45.792,0,5.73,0
45.833,0,5.746,0
45.875,0,5.746,0
45.917,0,5.746,0
45.958,0,5.746,0
46.000,0,5.746,0
46.042,0,5.746,0
46.083,0,5.746,0
46.125,0,5.746,0
46.167,0,5.746,0
46.208,0,5.746,0
46.250,0,5.746,0
46.292,0,5.746,0
46.333,0,5.73,0
46.375,0,5.746,0
46.417,0,5.746,0
46.458,0,5.73,0
46.500,0,5.746,0
46.542,0,5.746,0
46.583,0,5.746,0
46.625,0.512,5.218,0
46.667,0,5.746,0
46.708,0,5.746,0
46.750,0,5.746,0
46.792,0,5.746,0
46.833,0,5.746,0
46.875,0,5.746,0
46.917,0,5.73,0
46.958,0,5.762,0
47.000,0,5.746,0
47.042,0.43,5.3,0
47.083,0,5.746,0
47.125,0,5.746,0
47.167,0,5.746,0
47.208,0,5.746,0
47.250,0,5.746,0
47.292,0,5.746,0
47.333,0,5.746,0
47.375,0,5.746,0
47.417,0,5.746,0
47.458,0,5.746,0
47.500,0,5.746,0
47.542,0,5.746,0
47.583,0,5.746,0
